Geography,Category,Data Type,Unit,2016,2017,2018,2019,2020,2021
Israel,Mobile Phones,Retail Volume,000 units,"3,437.5","3,546.6","3,645.6","3,755.8","3,653.2","3,821.6"
Morocco,Mobile Phones,Retail Volume,000 units,"2,887.3","3,184.1","3,466.5","3,543.1","3,469.9","3,575.0"
Nigeria,Mobile Phones,Retail Volume,000 units,"15,914.6","17,391.3","18,556.2","18,069.3","17,209.5","16,701.7"
Saudi Arabia,Mobile Phones,Retail Volume,000 units,"19,898.3","19,990.9","20,242.8","20,289.9","19,145.8","19,618.8"
South Africa,Mobile Phones,Retail Volume,000 units,"15,334.4","16,125.7","16,959.5","17,844.8","16,074.5","17,068.6"
United Arab Emirates,Mobile Phones,Retail Volume,000 units,"5,016.8","5,005.6","5,030.5","5,486.4","5,821.7","6,206.2"
Canada,Mobile Phones,Retail Volume,000 units,"13,462.0","13,661.5","13,673.6","13,408.1","11,533.3","11,687.8"
USA,Mobile Phones,Retail Volume,000 units,"163,843.6","160,484.2","156,753.0","151,208.3","139,745.7","145,394.5"
Austria,Mobile Phones,Retail Volume,000 units,"2,906.9","2,800.4","2,675.0","2,599.3","2,621.9","2,613.3"
Denmark,Mobile Phones,Retail Volume,000 units,"2,246.5","2,138.4","2,137.9","2,045.0","2,005.0","1,990.0"
France,Mobile Phones,Retail Volume,000 units,"23,349.5","22,742.4","22,008.0","20,208.2","18,303.4","18,915.9"
Germany,Mobile Phones,Retail Volume,000 units,"25,100.9","24,686.9","24,549.0","23,810.7","23,919.1","23,704.4"
Greece,Mobile Phones,Retail Volume,000 units,"2,915.4","2,671.3","2,600.0","2,436.6","2,158.2","2,295.6"
Italy,Mobile Phones,Retail Volume,000 units,"25,757.4","24,814.4","23,479.9","22,630.1","21,693.5","21,586.7"
Netherlands,Mobile Phones,Retail Volume,000 units,"5,987.3","5,773.0","5,448.7","5,181.4","4,868.7","5,291.0"
Norway,Mobile Phones,Retail Volume,000 units,"2,039.5","1,900.0","1,800.0","1,749.0","1,631.0","1,625.0"
Portugal,Mobile Phones,Retail Volume,000 units,"3,451.1","3,438.8","3,338.3","3,132.2","2,883.0","2,921.2"
Spain,Mobile Phones,Retail Volume,000 units,"13,039.1","12,512.8","11,974.2","11,550.7","11,083.4","10,719.3"
Sweden,Mobile Phones,Retail Volume,000 units,"3,822.6","3,758.0","3,745.0","3,480.0","3,317.0","3,265.0"
Turkey,Mobile Phones,Retail Volume,000 units,"12,872.9","12,097.8","10,697.1","10,746.9","10,614.0","11,126.2"
United Kingdom,Mobile Phones,Retail Volume,000 units,"28,478.8","28,732.3","28,813.0","27,937.4","26,178.9","26,461.7"
