Country,Category,Brand Name,Company Name (GBO),Data Type,Unit,2017,2018,2019,2020,2021,sum
India,Mobile Phones,Lava,Lava International Ltd,Retail Volume,000 units,14294.9,10169.5,13918.0,14455.0,15510.5,68347.9
India,Mobile Phones,Spice,Spice Group,Retail Volume,000 units,2410.5,2217.2,1512.8,842.3,293.5,7276.3
India,Mobile Phones,Sony,Sony Corp,Retail Volume,000 units,,,,,,
India,Mobile Phones,Nokia,Nokia Corp,Retail Volume,000 units,3545.7,3104.1,2607.4,3739.8,4144.4,17141.4
India,Mobile Phones,OnePlus,BBK Electronics Corp Ltd,Retail Volume,000 units,1100.0,1241.1,1430.1,1681.3,2181.5,7634.0
Indonesia,Mobile Phones,Others,Others,Retail Volume,000 units,1711.9,1290.9,1270.2,1156.2,2092.3,7521.5
Indonesia,Mobile Phones,Nexian,Metrotech Jaya Komunika Indonesia PT,Retail Volume,000 units,1822.6,1395.9,1125.0,952.9,686.1,5982.5
Indonesia,Mobile Phones,Oppo,BBK Electronics Corp Ltd,Retail Volume,000 units,6606.6,6003.8,8050.0,7518.7,7894.6,36073.700000000004
Indonesia,Mobile Phones,Evercoss,Aries Indo Global PT,Retail Volume,000 units,887.0,622.8,321.0,161.4,80.7,2072.9
Indonesia,Mobile Phones,Advan,Intech Surya Abadi PT,Retail Volume,000 units,2337.7,1245.6,521.6,185.8,65.1,4355.8
Indonesia,Mobile Phones,Lenovo,Lenovo Group Ltd,Retail Volume,000 units,1275.1,996.5,577.3,305.2,158.7,3312.7999999999993
Indonesia,Mobile Phones,Nokia,Nokia Corp,Retail Volume,000 units,2832.2,2112.1,2111.2,1608.1,1173.7,9837.3
Indonesia,Mobile Phones,Realme,BBK Electronics Corp Ltd,Retail Volume,000 units,,,2400.0,4144.8,4642.2,
Indonesia,Mobile Phones,Samsung,Samsung Corp,Retail Volume,000 units,9774.5,9955.9,9287.4,6305.6,5602.8,40926.200000000004
Indonesia,Mobile Phones,Blackberry,BlackBerry Ltd,Retail Volume,000 units,27.5,21.8,16.2,,,
Indonesia,Mobile Phones,Sony,Sony Corp,Retail Volume,000 units,62.3,36.1,,,,
Indonesia,Mobile Phones,Andromax,Smartfren Telecom Tbk PT,Retail Volume,000 units,128.7,109.0,97.2,78.3,62.6,475.8
Indonesia,Mobile Phones,LG,LG Corp,Retail Volume,000 units,360.2,244.0,32.4,,,
Indonesia,Mobile Phones,Vivo,BBK Electronics Corp Ltd,Retail Volume,000 units,1986.6,2986.4,5650.0,7938.3,8732.1,27293.4
Indonesia,Mobile Phones,Asus,AsusTek Computer Inc,Retail Volume,000 units,1753.3,1002.7,722.1,366.8,183.4,4028.3
Indonesia,Mobile Phones,Blackberry,Research in Motion Ltd,Retail Volume,000 units,,,,,,
Indonesia,Mobile Phones,HiSense,Hisense Group,Retail Volume,000 units,36.8,31.1,15.9,,,
Indonesia,Mobile Phones,Xiaomi,Xiaomi Corp,Retail Volume,000 units,1496.9,7121.7,4800.0,5808.0,6679.2,25905.8
Indonesia,Mobile Phones,ZTE,ZTE Corp,Retail Volume,000 units,343.4,245.6,,,,
Indonesia,Mobile Phones,iPhone,Apple Inc,Retail Volume,000 units,1252.4,828.3,789.9,704.3,647.9,4222.799999999999
Indonesia,Mobile Phones,Huawei,Huawei Technologies Co Ltd,Retail Volume,000 units,656.5,575.8,292.4,176.1,105.6,1806.3999999999996
Malaysia,Mobile Phones,Huawei,Huawei Technologies Co Ltd,Retail Volume,000 units,994.5,1379.1,1172.2,914.4,953.8,5414.0
Malaysia,Mobile Phones,Motorola,Google Inc,Retail Volume,000 units,,,,,,
Malaysia,Mobile Phones,LG,LG Corp,Retail Volume,000 units,57.9,23.2,4.6,,,
Malaysia,Mobile Phones,Lenovo,Lenovo Group Ltd,Retail Volume,000 units,431.1,186.6,154.0,30.8,12.3,814.8
Malaysia,Mobile Phones,Lumia,Microsoft Corp,Retail Volume,000 units,16.6,11.6,7.0,,,
Malaysia,Mobile Phones,Nokia,Nokia Corp,Retail Volume,000 units,277.5,245.1,196.1,153.9,123.1,995.7
Malaysia,Mobile Phones,HTC,HTC Corp,Retail Volume,000 units,66.2,53.0,45.0,9.0,3.6,176.79999999999998
Malaysia,Mobile Phones,Others,Others,Retail Volume,000 units,261.7,184.9,143.4,110.9,96.3,797.1999999999999
Malaysia,Mobile Phones,Xiaomi,Xiaomi Corp,Retail Volume,000 units,282.1,465.4,800.6,1056.8,1200.5,3805.3999999999996
Malaysia,Mobile Phones,Blackberry,Research in Motion Ltd,Retail Volume,000 units,,,,,,
Malaysia,Mobile Phones,Asus,AsusTek Computer Inc,Retail Volume,000 units,331.1,108.3,50.6,30.0,12.0,532.0
Malaysia,Mobile Phones,Oppo,BBK Electronics Corp Ltd,Retail Volume,000 units,963.9,1204.9,1289.1,1254.6,1269.8,5982.3
Malaysia,Mobile Phones,iPhone,Apple Inc,Retail Volume,000 units,1489.7,1360.0,1148.7,954.5,960.5,5913.4
Malaysia,Mobile Phones,ZTE,ZTE Corp,Retail Volume,000 units,157.2,78.6,31.7,5.8,2.3,275.6
Malaysia,Mobile Phones,Samsung,Samsung Corp,Retail Volume,000 units,3448.9,3197.8,2791.1,2340.5,2046.9,13825.2
Malaysia,Mobile Phones,Realme,BBK Electronics Corp Ltd,Retail Volume,000 units,,21.1,200.0,980.0,1222.0,
Malaysia,Mobile Phones,Sony,Sony Corp,Retail Volume,000 units,76.3,40.0,7.5,2.0,1.8,127.6
Malaysia,Mobile Phones,Vivo,BBK Electronics Corp Ltd,Retail Volume,000 units,426.1,769.2,1230.8,1362.5,1403.3,5191.900000000001
Malaysia,Mobile Phones,Blackberry,BlackBerry Ltd,Retail Volume,000 units,63.1,,,,,
Philippines,Mobile Phones,Starmobile,Star Telecom Alliance Resources Inc,Retail Volume,000 units,763.2,475.7,286.3,159.3,109.7,1794.2
Philippines,Mobile Phones,Torque,Topstrasse Global Inc,Retail Volume,000 units,483.5,348.1,327.2,279.1,78.2,1516.1000000000001
Philippines,Mobile Phones,Blackberry,BlackBerry Ltd,Retail Volume,000 units,33.9,1.9,,,,
Philippines,Mobile Phones,Sony,Sony Corp,Retail Volume,000 units,104.8,85.0,22.0,9.4,6.4,227.60000000000002
Philippines,Mobile Phones,Vivo,BBK Electronics Corp Ltd,Retail Volume,000 units,850.3,1193.6,1560.5,1657.2,1706.3,6967.9
Philippines,Mobile Phones,Asus,AsusTek Computer Inc,Retail Volume,000 units,42.9,41.6,40.2,35.9,28.9,189.5
Philippines,Mobile Phones,Xiaomi,Xiaomi Corp,Retail Volume,000 units,,122.9,153.6,229.4,270.2,
Philippines,Mobile Phones,iPhone,Apple Inc,Retail Volume,000 units,485.7,470.7,422.1,412.0,427.8,2218.3
Philippines,Mobile Phones,myPhone,Solid Group Inc,Retail Volume,000 units,3251.9,2320.1,1751.2,1253.9,555.4,9132.5
Philippines,Mobile Phones,LG,LG Corp,Retail Volume,000 units,724.8,532.0,461.2,264.4,94.6,2077.0
Philippines,Mobile Phones,Nokia,Nokia Corp,Retail Volume,000 units,238.2,190.6,194.4,179.5,165.1,967.8
Philippines,Mobile Phones,Huawei,Huawei Technologies Co Ltd,Retail Volume,000 units,1006.8,1262.0,1241.8,1268.6,1323.5,6102.700000000001
Philippines,Mobile Phones,HTC,HTC Corp,Retail Volume,000 units,63.6,75.0,76.1,74.9,72.4,362.0
Philippines,Mobile Phones,Samsung,Samsung Corp,Retail Volume,000 units,2768.4,2591.0,2535.1,2362.3,2470.5,12727.3
Philippines,Mobile Phones,Others,Others,Retail Volume,000 units,1988.4,2427.7,2038.1,4496.6,5930.6,16881.4
Philippines,Mobile Phones,Cherry,Cosmic Technologies Inc,Retail Volume,000 units,4972.6,3648.2,2653.8,2023.9,1000.1,14298.599999999999
Philippines,Mobile Phones,Realme,BBK Electronics Corp Ltd,Retail Volume,000 units,,,1722.7,1747.7,1921.8,
Philippines,Mobile Phones,Blackberry,Research in Motion Ltd,Retail Volume,000 units,,,,,,
Philippines,Mobile Phones,Oppo,BBK Electronics Corp Ltd,Retail Volume,000 units,1188.0,1411.0,1866.3,1906.9,2003.8,8376.0
Philippines,Mobile Phones,Lenovo,Lenovo Group Ltd,Retail Volume,000 units,1162.8,892.0,753.7,477.5,513.0,3799.0
Singapore,Mobile Phones,Nokia,Nokia Corp,Retail Volume,000 units,28.5,18.6,15.0,12.2,10.0,84.3
Singapore,Mobile Phones,Others,Others,Retail Volume,000 units,326.0,332.1,387.4,354.1,292.3,1691.8999999999999
Singapore,Mobile Phones,Huawei,Huawei Technologies Co Ltd,Retail Volume,000 units,151.1,171.6,194.9,157.2,163.7,838.5
Singapore,Mobile Phones,Xiaomi,Xiaomi Corp,Retail Volume,000 units,128.4,147.6,162.3,171.0,193.6,802.9
Singapore,Mobile Phones,Motorola,Google Inc,Retail Volume,000 units,,,,,,
Singapore,Mobile Phones,Realme,BBK Electronics Corp Ltd,Retail Volume,000 units,,,24.5,75.0,110.5,
Singapore,Mobile Phones,HTC,HTC Corp,Retail Volume,000 units,26.0,15.7,12.4,7.9,4.9,66.9
Singapore,Mobile Phones,LG,LG Corp,Retail Volume,000 units,32.7,23.4,17.1,11.0,7.2,91.4
Singapore,Mobile Phones,Blackberry,Research in Motion Ltd,Retail Volume,000 units,,,,,,
Singapore,Mobile Phones,Oppo,BBK Electronics Corp Ltd,Retail Volume,000 units,146.7,178.0,165.0,138.9,145.8,774.4000000000001
Singapore,Mobile Phones,Samsung,Samsung Corp,Retail Volume,000 units,845.5,843.2,888.3,830.5,883.4,4290.9
Singapore,Mobile Phones,Sony,Sony Corp,Retail Volume,000 units,41.0,25.5,17.0,13.2,10.5,107.2
Singapore,Mobile Phones,Blackberry,BlackBerry Ltd,Retail Volume,000 units,,,,,,
Singapore,Mobile Phones,iPhone,Apple Inc,Retail Volume,000 units,1071.0,1064.1,999.6,1021.8,1080.5,5237.0
Thailand,Mobile Phones,HTC,HTC Corp,Retail Volume,000 units,9.1,,,,,
Thailand,Mobile Phones,Asus,AsusTek Computer Inc,Retail Volume,000 units,799.9,119.1,30.1,23.1,18.5,990.7
Thailand,Mobile Phones,Blackberry,BlackBerry Ltd,Retail Volume,000 units,,,,,,
Thailand,Mobile Phones,GNet,G-Net Express Co Ltd,Retail Volume,000 units,,,,,,
Thailand,Mobile Phones,Blackberry,Research in Motion Ltd,Retail Volume,000 units,,,,,,
Thailand,Mobile Phones,phoneOne,Advanced Info Service Plc,Retail Volume,000 units,,,,,,
Thailand,Mobile Phones,Oppo,BBK Electronics Corp Ltd,Retail Volume,000 units,1208.1,2779.0,3168.0,3937.9,4134.8,15227.8
Thailand,Mobile Phones,Xiaomi,Xiaomi Corp,Retail Volume,000 units,,457.8,549.3,870.9,1023.5,
Thailand,Mobile Phones,Nokia,Nokia Corp,Retail Volume,000 units,784.0,588.3,705.3,663.8,516.1,3257.4999999999995
Thailand,Mobile Phones,Realme,BBK Electronics Corp Ltd,Retail Volume,000 units,,,690.2,1411.3,1800.3,
Thailand,Mobile Phones,Huawei,Huawei Technologies Co Ltd,Retail Volume,000 units,1728.8,2901.2,3356.1,2997.5,3126.7,14110.3
Thailand,Mobile Phones,Samsung,Samsung Corp,Retail Volume,000 units,4841.5,4490.1,4097.3,3955.2,4295.8,21679.9
Thailand,Mobile Phones,Lenovo,Lenovo Group Ltd,Retail Volume,000 units,704.2,721.7,520.0,422.2,474.6,2842.7
Thailand,Mobile Phones,ZTE,ZTE Corp,Retail Volume,000 units,632.8,,,,,
Thailand,Mobile Phones,Others,Others,Retail Volume,000 units,3113.2,1746.1,1297.5,253.7,435.8,6846.299999999999
Thailand,Mobile Phones,iPhone,Apple Inc,Retail Volume,000 units,1896.1,1776.1,1624.7,1445.0,1499.5,8241.4
Thailand,Mobile Phones,Vivo,BBK Electronics Corp Ltd,Retail Volume,000 units,1762.3,1850.4,1932.9,2269.9,2338.1,10153.6
Thailand,Mobile Phones,LG,LG Corp,Retail Volume,000 units,147.5,105.6,77.0,29.5,7.3,366.90000000000003
Thailand,Mobile Phones,I-Mobile,Samart Corp Plc,Retail Volume,000 units,836.1,122.2,,,,
Thailand,Mobile Phones,Sony,Sony Corp,Retail Volume,000 units,372.2,301.4,78.0,31.1,25.8,808.4999999999999
Thailand,Mobile Phones,Wiko,Tinno Mobile Technology Corp,Retail Volume,000 units,900.1,1112.1,984.2,343.3,174.2,3513.8999999999996
USA,Mobile Phones,Blackberry,Research in Motion Ltd,Retail Volume,000 units,,,,,,
USA,Mobile Phones,Sanyo,Panasonic Corp,Retail Volume,000 units,,,,,,
USA,Mobile Phones,Pantech,Pantech Group,Retail Volume,000 units,,,,,,
USA,Mobile Phones,Samsung,Samsung Corp,Retail Volume,000 units,39618.4,38118.6,37053.6,34233.4,34112.9,183136.9
USA,Mobile Phones,ZTE,ZTE Corp,Retail Volume,000 units,11904.6,6107.5,1184.1,794.6,483.1,20473.899999999994
USA,Mobile Phones,Blackberry,BlackBerry Ltd,Retail Volume,000 units,235.9,1786.8,94.1,70.7,28.4,2215.9
USA,Mobile Phones,Asus,AsusTek Computer Inc,Retail Volume,000 units,256.5,351.0,257.0,237.4,242.0,1343.9
USA,Mobile Phones,Nokia,Nokia Corp,Retail Volume,000 units,,,,,,
USA,Mobile Phones,Google Pixel,Alphabet Inc,Retail Volume,000 units,1303.3,2900.0,4053.2,4248.8,4956.7,17462.0
USA,Mobile Phones,Motorola,Lenovo Group Ltd,Retail Volume,000 units,8076.8,8992.8,10716.1,8060.4,8824.1,44670.2
USA,Mobile Phones,Motorola,Google Inc,Retail Volume,000 units,,,,,,
USA,Mobile Phones,HTC,HTC Corp,Retail Volume,000 units,2337.1,2153.0,1503.9,886.7,723.4,7604.099999999999
USA,Mobile Phones,LG,LG Corp,Retail Volume,000 units,23295.9,19854.2,15880.7,13132.1,11160.5,83323.40000000001
USA,Mobile Phones,iPhone,Apple Inc,Retail Volume,000 units,47925.9,46077.1,45699.6,43032.7,44655.0,227390.3
USA,Mobile Phones,Kyocera,Kyocera Corp,Retail Volume,000 units,448.5,315.6,252.0,182.6,135.1,1333.8
USA,Mobile Phones,Huawei,Huawei Technologies Co Ltd,Retail Volume,000 units,1570.3,703.0,476.2,365.4,381.2,3496.1
USA,Mobile Phones,Others,Others,Retail Volume,000 units,23511.0,29393.4,34037.8,29145.8,33817.9,149905.90000000002
USA,Mobile Phones,TCL,TCL Corp,Retail Volume,000 units,,,,5354.9,5874.1,
Vietnam,Mobile Phones,Huawei,Huawei Technologies Co Ltd,Retail Volume,000 units,514.5,661.2,789.6,695.7,725.7,3386.7
Vietnam,Mobile Phones,iPhone,Apple Inc,Retail Volume,000 units,1760.0,1643.6,1534.5,1372.4,1424.2,7734.7
Vietnam,Mobile Phones,Xiaomi,Xiaomi Corp,Retail Volume,000 units,819.2,910.2,1125.0,1823.7,2167.7,6845.8
Vietnam,Mobile Phones,Vsmart,Masan Group Corp,Retail Volume,000 units,,,600.0,1950.0,2137.5,
Vietnam,Mobile Phones,Realme,BBK Electronics Corp Ltd,Retail Volume,000 units,,280.0,396.1,572.1,858.2,
Vietnam,Mobile Phones,Vivo,BBK Electronics Corp Ltd,Retail Volume,000 units,,606.8,795.0,961.1,989.9,
Vietnam,Mobile Phones,Sony,Sony Corp,Retail Volume,000 units,209.1,169.4,43.8,,,
Vietnam,Mobile Phones,Samsung,Samsung Corp,Retail Volume,000 units,6366.9,5741.8,5522.5,5309.4,5185.5,28126.1
Vietnam,Mobile Phones,Blackberry,Research in Motion Ltd,Retail Volume,000 units,,,,,,
Vietnam,Mobile Phones,Others,Others,Retail Volume,000 units,3739.5,3501.6,2368.1,1361.0,970.3,11940.5
Vietnam,Mobile Phones,Oppo,BBK Electronics Corp Ltd,Retail Volume,000 units,3382.0,3582.0,3879.2,4002.1,4160.9,19006.2
Vietnam,Mobile Phones,Lenovo,Lenovo Group Ltd,Retail Volume,000 units,680.5,700.1,580.0,473.1,531.8,2965.5
Vietnam,Mobile Phones,LG,LG Corp,Retail Volume,000 units,224.8,170.3,155.1,127.2,97.0,774.4000000000001
Vietnam,Mobile Phones,HTC,HTC Corp,Retail Volume,000 units,128.6,103.2,110.4,,,
Vietnam,Mobile Phones,Blackberry,BlackBerry Ltd,Retail Volume,000 units,36.0,17.2,12.0,,,
Vietnam,Mobile Phones,Nokia,Nokia Corp,Retail Volume,000 units,3315.2,3045.4,2843.1,2596.0,2208.7,14008.400000000001
